Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.18,Avon Eos,Mass Market Paperback,208,1998,1995,,2024/09/25,to-read,to-read (#100),to-read,,,,0,0
204811915,"Tell Me Everything (Amgash, #5)",Elizabeth Strout,"Strout, Elizabeth",,"=""0593446097""","=""9780593446096""",0,4.09,Random House,Hardcover,326,2024,2024,,2024/09/25,to-read,to-read (#99),to-read,,,,0,0
60321392,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1982117354""","=""9781982117351""",0,4.28,Scribner,Hardcover,473,2022,2022,,2024/09/25,to-read,to-read (#98),to-read,,,,0,0
75555793,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0571365442""","=""9780571365449""",0,3.53,Faber  Faber,Paperback,337,2023,2021,,2024/09/25,to-read,to-read (#97),to-read,,,,0,0
204538483,"The Striker (Gods of the Game, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.77,,Kindle Edition,595,2024,2024,,2024/09/24,to-read,to-read (#96),to-read,,,,0,0
203751764,I'm Sorry for My Loss: An Urgent Examination of Reproductive Care in America,Rebecca Little and Colleen Long,"Long, Rebecca Little and Colleen",Colleen  Long,"=""1728292751""","=""9781728292755""",0,4.42,Sourcebooks,Hardcover,496,2024,2024,,2024/09/24,to-read,to-read (#95),to-read,,,,0,0
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Skloot, Rebecca",,"=""1400052173""","=""9781400052172""",5,4.13,Crown Publishing Group,Hardcover,370,2010,2010,2024/09/24,2023/04/26,,,read,,,,1,0
183086339,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",3,4.07,Simon & Schuster Children's UK,Kindle Edition,396,2024,2024,2024/07/30,2024/07/30,to-read,to-read (#94),to-read,,,,1,0
60197314,Betting on You,Lynn Painter,"Painter, Lynn",,"=""1665921234""","=""9781665921237""",3,4.12,Simon & Schuster Books for Young Readers,Hardcover,432,2023,2023,2024/06/21,2024/01/24,,,read,,,,1,0
182484360,The Reappearance of Rachel Price,Holly  Jackson,"Jackson, Holly",,"=""0593374207""","=""9780593374207""",4,4.09,Delacorte Press,Hardcover,448,2024,2024,2024/06/21,2024/04/16,,,read,,,,1,0
197577126,This Summer Will Be Different,Carley Fortune,"Fortune, Carley",,"=""0593638883""","=""9780593638880""",4,3.97,Berkley,Paperback,368,2024,2024,2024/05/30,2024/03/19,,,read,,,,1,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",0,3.90,"Farrar, Straus and Giroux",Hardcover,454,2024,2024,,2024/05/25,to-read,to-read (#93),to-read,,,,0,0
33413128,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",Neil Smith,"=""""","=""""",0,4.29,Simon & Schuster,ebook,432,2017,2016,,2024/05/24,to-read,to-read (#92),to-read,,,,0,0
136276877,The Last Murder at the End of the World,Stuart Turton,"Turton, Stuart",,"=""""","=""""",0,3.67,Sourcebooks Landmark,Hardcover,368,2024,2024,,2024/05/21,to-read,to-read (#91),to-read,,,,0,0
195820807,"Just for the Summer (Part of Your World, #3)",Abby Jimenez,"Jimenez, Abby",,"=""1538704439""","=""9781538704431""",0,4.37,Forever,Paperback,432,2024,2024,,2024/04/15,to-read,to-read (#90),to-read,,,,0,0
127305713,"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,"Ciccarelli, Kristen",,"=""1250866901""","=""9781250866905""",0,4.19,Wednesday Books,Hardcover,406,2024,2024,,2024/04/13,to-read,to-read (#89),to-read,,,,0,0
169690624,"Picking Daisies on Sundays (Picking Daisies on Sundays, #1)",Liana Cincotti,"Cincotti, Liana",,"=""""","=""""",0,4.03,,Kindle Edition,327,2023,2023,2024/03/27,2024/02/03,,,read,,,,1,0
845977,"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",Marianne Williamson,"Williamson, Marianne",,"=""0060927488""","=""9780060927486""",0,4.25,HarperOne,Paperback,300,1996,1992,,2024/03/07,to-read,to-read (#88),to-read,,,,0,0
